sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:916527	Garrulus glandarius	RO:0002439	preys on	EOL:1052362	Sylvia atricapilla	GEONAMES:3077311	Czech Republic	49.9	16.03333333		doi:10.1111/j.1474-919X.2009.00907.x	WEIDINGER, K. (2009), Nest predators of woodland open-nesting songbirds in central Europe. Ibis, 151: 352–360. doi: 10.1111/j.1474-919X.2009.00907.x
EOL:34549	Martes	RO:0002439	preys on	EOL:1052362	Sylvia atricapilla	GEONAMES:3077311	Czech Republic	49.9	16.03333333		doi:10.1111/j.1474-919X.2009.00907.x	WEIDINGER, K. (2009), Nest predators of woodland open-nesting songbirds in central Europe. Ibis, 151: 352–360. doi: 10.1111/j.1474-919X.2009.00907.x
EOL:328020	Martes martes	RO:0002439	preys on	EOL:1052362	Sylvia atricapilla	GEONAMES:3077311	Czech Republic	49.9	16.03333333		doi:10.1111/j.1474-919X.2009.00907.x	WEIDINGER, K. (2009), Nest predators of woodland open-nesting songbirds in central Europe. Ibis, 151: 352–360. doi: 10.1111/j.1474-919X.2009.00907.x
EOL:1178483	Dendrocopos major	RO:0002439	preys on	EOL:1052362	Sylvia atricapilla	GEONAMES:3077311	Czech Republic	49.9	16.03333333		doi:10.1111/j.1474-919X.2009.00907.x	WEIDINGER, K. (2009), Nest predators of woodland open-nesting songbirds in central Europe. Ibis, 151: 352–360. doi: 10.1111/j.1474-919X.2009.00907.x
EOL:1048441	Buteo buteo	RO:0002439	preys on	EOL:1052362	Sylvia atricapilla	GEONAMES:3077311	Czech Republic	49.9	16.03333333		doi:10.1111/j.1474-919X.2009.00907.x	WEIDINGER, K. (2009), Nest predators of woodland open-nesting songbirds in central Europe. Ibis, 151: 352–360. doi: 10.1111/j.1474-919X.2009.00907.x
EOL:1037909	Sciurus vulgaris	RO:0002439	preys on	EOL:1052362	Sylvia atricapilla	GEONAMES:3077311	Czech Republic	49.9	16.03333333		doi:10.1111/j.1474-919X.2009.00907.x	WEIDINGER, K. (2009), Nest predators of woodland open-nesting songbirds in central Europe. Ibis, 151: 352–360. doi: 10.1111/j.1474-919X.2009.00907.x
EOL:1037781	Felis catus	RO:0002439	preys on	EOL:1052362	Sylvia atricapilla	GEONAMES:3077311	Czech Republic	49.9	16.03333333		doi:10.1111/j.1474-919X.2009.00907.x	WEIDINGER, K. (2009), Nest predators of woodland open-nesting songbirds in central Europe. Ibis, 151: 352–360. doi: 10.1111/j.1474-919X.2009.00907.x
EOL:1050920	Lanius collurio	RO:0002439	preys on	EOL:1052362	Sylvia atricapilla	GEONAMES:3077311	Czech Republic	49.9	16.03333333		doi:10.1111/j.1474-919X.2009.00907.x	WEIDINGER, K. (2009), Nest predators of woodland open-nesting songbirds in central Europe. Ibis, 151: 352–360. doi: 10.1111/j.1474-919X.2009.00907.x
EOL:14116	Mustela	RO:0002439	preys on	EOL:1052742	Turdus philomelos	GEONAMES:3077311	Czech Republic	49.9	16.03333333		doi:10.1111/j.1474-919X.2009.00907.x	WEIDINGER, K. (2009), Nest predators of woodland open-nesting songbirds in central Europe. Ibis, 151: 352–360. doi: 10.1111/j.1474-919X.2009.00907.x
EOL:1048393	Accipiter nisus	RO:0002439	preys on	EOL:1052742	Turdus philomelos	GEONAMES:3077311	Czech Republic	49.9	16.03333333		doi:10.1111/j.1474-919X.2009.00907.x	WEIDINGER, K. (2009), Nest predators of woodland open-nesting songbirds in central Europe. Ibis, 151: 352–360. doi: 10.1111/j.1474-919X.2009.00907.x
EOL:1177362	Pica pica	RO:0002439	preys on	EOL:1052742	Turdus philomelos	GEONAMES:3077311	Czech Republic	49.9	16.03333333		doi:10.1111/j.1474-919X.2009.00907.x	WEIDINGER, K. (2009), Nest predators of woodland open-nesting songbirds in central Europe. Ibis, 151: 352–360. doi: 10.1111/j.1474-919X.2009.00907.x
EOL:1049024	Accipiter gentilis	RO:0002439	preys on	EOL:1052362	Sylvia atricapilla	GEONAMES:3077311	Czech Republic	49.9	16.03333333		doi:10.1111/j.1474-919X.2009.00907.x	WEIDINGER, K. (2009), Nest predators of woodland open-nesting songbirds in central Europe. Ibis, 151: 352–360. doi: 10.1111/j.1474-919X.2009.00907.x
EOL:328609	Vulpes vulpes	RO:0002439	preys on	EOL:1052362	Sylvia atricapilla	GEONAMES:3077311	Czech Republic	49.9	16.03333333		doi:10.1111/j.1474-919X.2009.00907.x	WEIDINGER, K. (2009), Nest predators of woodland open-nesting songbirds in central Europe. Ibis, 151: 352–360. doi: 10.1111/j.1474-919X.2009.00907.x
